2011-03-03 00:45:42 Notice: Notice (1024): Please change the value of 'Security.salt' in app/config/core.php to a salt value specific to your application in [/Users/robsa/Sites/Dropbox/htdocs/PMT/cake/libs/debugger.php, line 684]
2011-03-03 00:45:42 Notice: Notice (1024): Please change the value of 'Security.cipherSeed' in app/config/core.php to a numeric (digits only) seed value specific to your application in [/Users/robsa/Sites/Dropbox/htdocs/PMT/cake/libs/debugger.php, line 688]
2011-03-03 01:57:57 Notice: Notice (8): Undefined variable: cakeDebug in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/layouts/default.ctp, line 68]
2011-03-03 01:58:00 Notice: Notice (8): Undefined variable: cakeDebug in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/layouts/default.ctp, line 68]
2011-03-03 01:58:01 Notice: Notice (8): Undefined variable: cakeDebug in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/layouts/default.ctp, line 68]
2011-03-03 02:17:30 Notice: Notice (8): Undefined index: Projects in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/edit.ctp, line 6]
2011-03-03 02:17:30 Notice: Notice (8): Undefined index: Projects in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/edit.ctp, line 16]
2011-03-03 02:17:37 Notice: Notice (8): Undefined index: type in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/edit.ctp, line 6]
2011-03-03 02:17:37 Notice: Notice (8): Undefined index: Projects in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/edit.ctp, line 16]
2011-03-03 02:17:42 Notice: Notice (8): Undefined index: Projects in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/edit.ctp, line 16]
2011-03-03 03:13:11 Notice: Notice (8): Undefined index: fullname in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/index.ctp, line 37]
2011-03-03 03:27:48 Notice: Notice (8): Undefined index: completed in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/view.ctp, line 54]
2011-03-03 08:21:04 Notice: Notice (8): Undefined index: ProjectManager in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/index.ctp, line 38]
2011-03-03 08:40:24 Notice: Notice (8): Undefined property: ProjectManagersController::$OffshoreProjectManager in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/controllers/project_managers_controller.php, line 29]
2011-03-03 08:40:24 Notice: Notice (8): Trying to get property of non-object in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/controllers/project_managers_controller.php, line 29]
2011-03-03 08:53:59 Notice: Notice (8): Undefined index: name in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/view.ctp, line 202]
2011-03-03 09:49:28 Notice: Notice (8): Undefined index: client in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/clients/view.ctp, line 68]
2011-03-03 09:50:38 Notice: Notice (8): Undefined index: Client in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/clients/view.ctp, line 67]
2011-03-03 09:50:50 Notice: Notice (8): Undefined index: Client in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/clients/view.ctp, line 67]
2011-03-03 09:50:52 Notice: Notice (8): Undefined index: Client in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/clients/view.ctp, line 67]
2011-03-03 23:47:05 Notice: Notice (8): Undefined property: ThemeView::$Session in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/themed/default/layouts/default.ctp, line 41]
2011-03-03 23:47:09 Notice: Notice (8): Undefined property: ThemeView::$Session in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/themed/default/layouts/default.ctp, line 41]
2011-03-03 23:47:25 Notice: Notice (8): Undefined property: ThemeView::$Session in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/themed/default/layouts/default.ctp, line 41]
2011-03-03 23:47:43 Notice: Notice (8): Undefined property: ThemeView::$Session in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/themed/default/layouts/default.ctp, line 41]
2011-03-04 00:11:10 Notice: Notice (8): Undefined variable: javascript in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/themed/yiw_minimal/layouts/default.ctp, line 48]
2011-03-04 00:11:34 Notice: Notice (8): Undefined variable: javascript in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/themed/yiw_minimal/layouts/default.ctp, line 48]
2011-03-04 00:11:54 Notice: Notice (8): Undefined variable: javascript in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/themed/yiw_minimal/layouts/default.ctp, line 48]
2011-03-04 00:12:23 Notice: Notice (8): Undefined variable: javascript in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/themed/yiw_minimal/layouts/default.ctp, line 48]
2011-03-04 01:11:27 Notice: Notice (8): Undefined property: ThemeView::$Time in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/developers/index.ctp, line 28]
2011-03-04 01:12:06 Notice: Notice (8): Undefined property: ThemeView::$Session in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/themed/default/layouts/default.ctp, line 94]
2011-03-04 12:38:48 Notice: Notice (8): Undefined index: name in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/full_report.ctp, line 14]
2011-03-04 12:39:02 Notice: Notice (8): Undefined index: name in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/full_report.ctp, line 14]
2011-03-04 12:39:14 Notice: Notice (8): Undefined index: title in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/full_report.ctp, line 14]
2011-03-04 12:39:34 Notice: Notice (8): Undefined index: title in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/full_report.ctp, line 15]
2011-03-04 12:57:01 Notice: Notice (8): Undefined index: fullname in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/full_report.ctp, line 28]
2011-03-04 12:57:01 Notice: Notice (8): Undefined index: fullname in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/full_report.ctp, line 29]
2011-03-04 12:57:28 Notice: Notice (8): Undefined index: fullname in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/full_report.ctp, line 29]
2011-03-04 12:57:28 Notice: Notice (8): Undefined index: fullname in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/full_report.ctp, line 30]
2011-03-04 12:57:53 Notice: Notice (8): Undefined index: fullname in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/full_report.ctp, line 29]
2011-03-04 12:57:53 Notice: Notice (8): Undefined index: fullname in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/full_report.ctp, line 30]
